leader_id,main_goal,industry,years_of_experience,prefer_age,prefer_gender,matched_coach_id,,,,coach_id,coach_goal_1,coach_goal_2,coach_goal_3,coach_industry,coach_year_of_experience,coach_age,coach_gender
1,"(5, 'Increase uncertainty tolerance and resilience')","(8, 'Accommodation and Food Services')","(5, '7-8')","(None, 'None')",Male,11,,,,1,"(4, 'Giving & Receiving Feedback')","(1, 'Perfectionism & Procrastination')","(5, 'Increase uncertainty tolerance and resilience')","(13, 'Professional, Scientific and Technical Services')",5,40,Male
2,"(10, 'Managing your inner critic/Imposter Syndrome')","(2, 'Mining')","(2, '1-2')","(1, '20-25')",Male,19,,,,2,"(10, 'Managing your inner critic/Imposter Syndrome')","(3, 'Confidence/Presentation Anxiety')","(8, 'Building an inclusive team')","(19, 'Other Services')",7,45,Male
3,"(2, 'Self-care & Building effective work habits')","(3, 'Manufacturing')","(4, '5-6')","(3, '31-35')",Male,7,,,,3,"(3, 'Confidence/Presentation Anxiety')","(1, 'Perfectionism & Procrastination')","(2, 'Self-care & Building effective work habits')","(19, 'Other Services')",5,29,Female
4,"(8, 'Building an inclusive team')","(1, 'Agriculture, Forestry and Fishing')","(6, '8-9')","(7, '50-')",,12,,,,4,"(5, 'Increase uncertainty tolerance and resilience')","(8, 'Building an inclusive team')","(10, 'Managing your inner critic/Imposter Syndrome')","(1, 'Agriculture, Forestry and Fishing')",4,34,Female
5,"(2, 'Self-care & Building effective work habits')","(9, 'Transport, Postal and Warehousing')","(6, '8-9')","(1, '20-25')",Male,13,,,,5,"(6, 'Improve leadership and perspective-taking capacity')","(6, 'Improve leadership and perspective-taking capacity')","(10, 'Managing your inner critic/Imposter Syndrome')","(6, 'Wholesale Trade')",5,28,Male
6,"(5, 'Increase uncertainty tolerance and resilience')","(7, 'Retail Trade')","(3, '3-4')","(2, '26-30')",Male,10,,,,6,"(10, 'Managing your inner critic/Imposter Syndrome')","(6, 'Improve leadership and perspective-taking capacity')","(1, 'Perfectionism & Procrastination')","(7, 'Retail Trade')",3,30,Female
7,"(8, 'Building an inclusive team')","(9, 'Transport, Postal and Warehousing')","(6, '8-9')","(4, '36-40')",Male,12,,,,7,"(10, 'Managing your inner critic/Imposter Syndrome')","(2, 'Self-care & Building effective work habits')","(2, 'Self-care & Building effective work habits')","(9, 'Transport, Postal and Warehousing')",6,33,Female
8,"(5, 'Increase uncertainty tolerance and resilience')","(2, 'Mining')","(3, '3-4')","(3, '31-35')",Female,4,,,,8,"(2, 'Self-care & Building effective work habits')","(5, 'Increase uncertainty tolerance and resilience')","(9, 'Delating workload and manage your team')","(18, 'Arts and Recreation Services')",2,31,Male
9,"(7, 'Building effective team relationships')","(6, 'Wholesale Trade')","(6, '8-9')","(4, '36-40')",Female,20,,,,9,"(8, 'Building an inclusive team')","(1, 'Perfectionism & Procrastination')","(7, 'Building effective team relationships')","(7, 'Retail Trade')",8,35,Female
10,"(4, 'Giving & Receiving Feedback')","(1, 'Agriculture, Forestry and Fishing')","(4, '5-6')","(1, '20-25')",,1,,,,10,"(8, 'Building an inclusive team')","(6, 'Improve leadership and perspective-taking capacity')","(5, 'Increase uncertainty tolerance and resilience')","(8, 'Accommodation and Food Services')",4,30,Female
